
This file is where the output of ChessPlayer will send its data to. This line will be 
deleted upon the first run of ChessPlayer

B,WR,WP,E,E,E,E,BP,BR,E,WP,E,E,E,E,BP,E,WB,E,WN,WP,E,E,BP,BB,WQ,E,E,E,WP,BP,E,BQ,E,WB,E,WP,BP,E,BN,E,WR,WP,WN,E,E,BN,BP,BR,WK,WP,E,E,E,BP,BB,BK,E,WP,E,E,E,E,BP,E
W,WR,WP,E,E,E,E,BP,BR,E,WP,E,E,E,E,BP,E,WB,E,WN,WP,E,E,BP,BB,WQ,WN,E,E,WP,BP,E,BQ,E,WB,E,WP,BP,E,BN,E,WR,WP,E,E,E,BN,BP,BR,WK,WP,E,E,E,BP,BB,BK,E,WP,E,E,E,E,BP,E
B,WR,WP,E,E,BP,E,E,BR,E,WP,E,E,E,E,BP,E,WB,E,WN,WP,E,E,BP,BB,WQ,WN,E,E,WP,BP,E,BQ,E,WB,E,WP,BP,E,BN,E,WR,WP,E,E,E,BN,BP,BR,WK,WP,E,E,E,BP,BB,BK,E,WP,E,E,E,E,BP,E
W,WR,E,WP,E,BP,E,E,BR,E,WP,E,E,E,E,BP,E,WB,E,WN,WP,E,E,BP,BB,WQ,WN,E,E,WP,BP,E,BQ,E,WB,E,WP,BP,E,BN,E,WR,WP,E,E,E,BN,BP,BR,WK,WP,E,E,E,BP,BB,BK,E,WP,E,E,E,E,BP,E
B,WR,E,WP,E,BP,E,E,BR,E,WP,E,E,E,E,BP,E,WB,E,WN,WP,E,E,BP,E,WQ,WN,E,E,WP,BP,BB,BQ,E,WB,E,WP,BP,E,BN,E,WR,WP,E,E,E,BN,BP,BR,WK,WP,E,E,E,BP,BB,BK,E,WP,E,E,E,E,BP,E
W,WR,E,WP,E,BP,E,E,BR,E,E,WP,E,E,E,BP,E,WB,E,WN,WP,E,E,BP,E,WQ,WN,E,E,WP,BP,BB,BQ,E,WB,E,WP,BP,E,BN,E,WR,WP,E,E,E,BN,BP,BR,WK,WP,E,E,E,BP,BB,BK,E,WP,E,E,E,E,BP,E
B,WR,E,WP,E,BP,E,E,BR,E,E,WP,E,E,E,BP,E,WB,E,WN,WP,E,BP,E,E,WQ,WN,E,E,WP,BP,BB,BQ,E,WB,E,WP,BP,E,BN,E,WR,WP,E,E,E,BN,BP,BR,WK,WP,E,E,E,BP,BB,BK,E,WP,E,E,E,E,BP,E
W,WR,E,WP,E,BP,E,E,BR,E,WB,WP,E,E,E,BP,E,E,E,WN,WP,E,BP,E,E,WQ,WN,E,E,WP,BP,BB,BQ,E,WB,E,WP,BP,E,BN,E,WR,WP,E,E,E,BN,BP,BR,WK,WP,E,E,E,BP,BB,BK,E,WP,E,E,E,E,BP,E
B,WR,E,WP,E,BP,E,E,BR,E,WB,WP,E,E,BQ,BP,E,E,E,WN,WP,E,BP,E,E,WQ,WN,E,E,WP,BP,BB,E,E,WB,E,WP,BP,E,BN,E,WR,WP,E,E,E,BN,BP,BR,WK,WP,E,E,E,BP,BB,BK,E,WP,E,E,E,E,BP,E
W,WR,E,WP,E,BP,E,E,BR,E,WB,WP,E,E,BQ,BP,E,E,E,WN,WP,E,WP,E,E,WQ,WN,E,E,E,BP,BB,E,E,WB,E,WP,BP,E,BN,E,WR,WP,E,E,E,BN,BP,BR,WK,WP,E,E,E,BP,BB,BK,E,WP,E,E,E,E,BP,E
